time,price,status,amount
94502,12.79,B,200
94502,12.79,B,500
94502,12.79,B,1200
94502,12.79,S,100
94510,12.79,B,1000
94515,12.79,B,500
94522,12.79,B,100
94524,12.79,B,300
94524,12.79,B,300
94524,12.79,B,1200
94531,12.79,B,1000
94531,12.77,S,700
94531,12.77,S,100
94539,12.77,S,200
94542,12.79,B,1600
94542,12.79,B,400
94545,12.77,S,1000
94547,12.79,B,2200
94547,12.79,B,600
94548,12.79,B,200
94550,12.78,B,100
94554,12.78,B,100
94554,12.79,B,900
94611,12.79,B,200
94614,12.79,B,100
94620,12.79,S,400
94620,12.79,S,600
94621,12.79,S,400
94621,12.79,S,100
94621,12.78,S,5000
94621,12.77,S,300
94621,12.77,S,1600
94627,12.79,S,500
94633,12.79,S,100
94633,12.79,S,400
94633,12.8,B,2000
94634,12.79,S,800
94637,12.79,S,1300
94638,12.8,B,1000
94643,12.8,B,4350
94643,12.8,B,1650
94647,12.8,B,3000
94654,12.8,B,50
94656,12.8,S,3000
94656,12.8,S,500
94703,12.82,B,400
94716,12.82,B,600
94716,12.82,B,100
94716,12.83,B,2000
94716,12.83,B,100
94716,12.83,B,200
94716,12.84,B,27700
94723,12.83,S,2000
94728,12.83,S,2100
94732,12.82,S,600
94732,12.82,S,3100
94732,12.82,S,5000
94732,12.82,S,1300
94733,12.83,B,800
94734,12.83,B,400
94735,12.83,B,700
94735,12.84,B,300
94740,12.84,B,400
94743,12.82,S,100
94746,12.83,B,2500
94747,12.82,S,2600
94748,12.82,B,300
94800,12.82,B,1000
94804,12.82,B,1100
94804,12.82,B,3000
94811,12.83,B,200
94813,12.83,B,200
94813,12.82,S,500
94814,12.82,S,1000
94814,12.82,S,1000
94815,12.82,S,2900
94815,12.81,S,100
94815,12.81,S,1600
94815,12.81,S,1200
94815,12.81,S,1300
94815,12.81,S,500
94815,12.8,S,12150
94815,12.8,S,200
94815,12.8,S,1000
94815,12.8,S,400
94815,12.8,S,500
94815,12.8,S,6000
94819,12.8,B,2600
94820,12.8,B,100
94820,12.8,B,1000
94827,12.8,B,500
94827,12.8,B,200
94827,12.8,B,4000
94832,12.79,S,500
94833,12.8,B,1000
94833,12.79,S,1000
94833,12.79,S,600
94833,12.79,S,400
94835,12.8,B,400
94837,12.8,B,700
94838,12.79,S,100
94838,12.78,S,500
94838,12.78,S,100
94838,12.78,S,1000
94838,12.78,B,1800
94838,12.8,B,2700
94841,12.8,B,200
94848,12.79,B,800
94852,12.79,B,700
94852,12.79,B,1000
94852,12.8,B,800
94853,12.79,B,500
94859,12.77,S,100
94859,12.77,S,300
94859,12.76,S,1900
94912,12.76,S,1100
94912,12.76,S,100
94919,12.76,B,1000
94925,12.76,B,300
94933,12.75,S,700
94933,12.75,S,200
94933,12.75,S,2000
94933,12.75,S,3000
94933,12.75,S,200
94933,12.75,S,500
94933,12.75,S,300
94933,12.75,S,1900
94934,12.75,S,100
94936,12.75,S,1000
94938,12.75,S,1300
94945,12.75,S,200
94945,12.74,S,200
94945,12.73,S,5000
94945,12.73,S,6700
94952,12.73,B,200
94952,12.73,B,100
94956,12.73,B,1000
95003,12.72,B,3600
95004,12.7,S,400
95004,12.7,S,1000
95004,12.7,S,200
95004,12.7,S,100
95004,12.7,S,200
95004,12.7,S,200
95004,12.7,S,1900
95004,12.7,S,100
95004,12.7,S,100
95004,12.7,S,100
95004,12.7,S,700
95005,12.72,B,100
95007,12.7,S,100
95007,12.7,S,100
95008,12.7,S,300
95008,12.7,S,200
95008,12.7,S,400
95008,12.7,S,200
95008,12.7,S,200
95008,12.7,S,200
95008,12.7,S,200
95014,12.72,B,600
95015,12.7,S,300
95016,12.7,S,200
95019,12.72,B,1000
95022,12.7,S,2500
95022,12.7,S,1000
95022,12.69,S,1900
95022,12.69,S,1000
95022,12.68,S,1550
95026,12.7,B,4000
95026,12.7,B,1000
95030,12.7,B,1000
95030,12.7,B,5000
95034,12.7,S,1000
95037,12.7,S,600
95039,12.7,S,2400
95053,12.69,S,200
95054,12.69,S,500
95054,12.69,S,5000
95103,12.69,S,1900
95103,12.69,S,100
95103,12.68,S,6450
95103,12.68,S,1000
95103,12.68,S,1000
95104,12.67,B,1000
95104,12.67,B,2900
95105,12.67,B,1150
95107,12.69,S,850
95108,12.69,B,100
95109,12.69,B,200
95115,12.69,B,1000
95119,12.65,S,300
95123,12.67,S,200
95123,12.65,S,700
95123,12.65,S,2100
95123,12.65,S,2600
95139,12.69,B,1000
95140,12.65,S,300
95140,12.65,S,100
95149,12.65,S,400
95149,12.65,S,100
95149,12.65,S,100
95149,12.65,S,500
95153,12.65,B,1000
95158,12.65,B,1000
95158,12.65,B,1900
95158,12.65,B,500
95158,12.68,B,600
95159,12.64,S,400
95201,12.64,S,600
95201,12.64,S,300
95201,12.64,S,200
95201,12.64,S,4100
95201,12.63,S,3000
95201,12.63,S,1200
95202,12.63,B,500
95203,12.63,B,800
95205,12.63,B,500
95209,12.62,S,100
95210,12.63,B,300
95213,12.63,B,1000
95215,12.63,B,300
95217,12.63,B,1000
95218,12.63,B,2000
95219,12.63,B,2000
95219,12.63,B,2200
95222,12.63,S,100
95228,12.64,B,500
95229,12.64,B,400
95248,12.69,B,100
95248,12.69,S,400
95248,12.65,S,2900
95304,12.69,S,200
95312,12.7,B,200
95315,12.7,B,1800
95315,12.73,B,100
95321,12.73,B,500
95325,12.73,B,400
95325,12.74,B,1400
95337,12.74,S,200
95337,12.71,S,1800
95347,12.74,B,900
95349,12.74,B,1100
95349,12.74,B,3900
95351,12.74,B,500
95351,12.74,B,800
95353,12.74,B,2000
95354,12.73,S,500
95354,12.73,S,500
95401,12.74,B,500
95404,12.74,B,1700
95404,12.74,B,300
95405,12.73,S,500
95407,12.74,B,1500
95407,12.74,B,500
95407,12.73,S,2000
95409,12.74,B,2700
95410,12.75,B,4800
95410,12.75,B,1000
95410,12.75,B,500
95410,12.75,B,4700
95410,12.75,B,1000
95413,12.75,S,500
95415,12.75,S,7500
95415,12.74,S,300
95415,12.74,S,1100
95449,12.74,S,1000
95450,12.75,B,1000
95450,12.75,B,1000
95451,12.74,S,3300
95451,12.74,S,1000
95458,12.74,B,700
95519,12.77,B,300
95526,12.77,S,200
95526,12.75,S,2600
95528,12.74,S,200
95533,12.75,B,200
95537,12.75,B,3000
95540,12.75,B,500
95544,12.75,B,200
95547,12.74,S,400
95549,12.74,B,100
95551,12.74,S,2000
95553,12.74,S,500
95559,12.74,S,1300
95559,12.74,B,700
95559,12.75,B,600
95600,12.75,B,950
95602,12.75,S,50
95606,12.74,B,800
95623,12.74,B,150
95623,12.74,B,2000
95634,12.76,B,1000
95644,12.74,S,500
95644,12.77,B,4000
95644,12.77,B,500
95644,12.79,B,1600
95644,12.8,B,800
95644,12.8,B,3100
95656,12.74,S,2900
95702,12.74,S,1150
95702,12.74,S,50
95707,12.74,S,1450
95707,12.74,S,500
95707,12.74,S,400
95707,12.74,S,5000
95710,12.74,B,5000
95711,12.74,B,2150
95725,12.75,S,100
95725,12.74,S,100
95728,12.75,S,1000
95728,12.74,S,1000
95736,12.8,B,3700
